token,index
anerkennungsvoraussetzung,183
anfallen,184
anfallend,185
anfechtbar,186
anfechtung,187
anfrage,188
angeben,189
angebot,190
angeboten,191
angebracht,192
angebrochen,193
angefangen,194
angefochten,195
angegeben,196
angehören,197
angehörige,198
angelegenheit,199
angemeldet,200
angemessenheit,201
angenommen,202
angeordnet,203
angepasst,204
angeschlossen,205
angesetzt,206
angestellt,207
angestellter,208
angestrebt,209
angewandt,210
angewiesen,211
angliedern,212
angrenzend,213
anhalten,214
anhaltspunkt,215
anhand,216
anhäng,217
anhänger,218
anhör,219
anhören,220
anhörung,221
anklage,222
ankunft,223
anlage,224
anlagekost,225
anlagevermögen,226
anlass,227
anlaufstelle,228
anlaß,229
anlegen,230
anlegung,231
anlehnung,232
anliegen,233
anlässe,234
anlässlich,235
anmelden,236
anmeldung,237
anmerken,238
anmerkung,239
annahme,240
annehmen,241
anonymisiert,242
anordnet,243
anpassen,244
anrechenbar,245
anrechnen,246
anrechnung,247
anrecht,248
anregung,249
anrufen,250
anrufung,251
ansatz,252
anschaffung,253
anschaffungskost,254
anschliessend,255
anschließen,256
anschluss,257
anschlussgebühr,258
anschlussgesuch,259
anschlussleistung,260
anschlussleitung,261
anschlussleitunge,262
anschlussvertrag,263
anschlüsse,264
ansehen,265
ansetzen,266
ansetzung,267
ansonsten,268
anspruchsberechtigt,269
anspruchsberechtigung,270
anspruchsermittlung,271
anspruchsgruppe,272
anstalt,273
anstand,274
anstelle,275
anstellen,276
anstellung,277
anstellungsbedingung,278
anstellungsbehörde,279
anstellungsverhältnis,280
anstellungsverhältniss,281
anstreben,282
ansässig,283
anteil,284
anteilmässig,285
anteilsmässig,286
antragstellend,287
antragsteller,288
antragstellung,289
antreten,290
antritt,291
antwort,292
anvertraut,293
anwalt,294
anwaltsgesetz,295
anwaltsregister,296
anweisen,297
anweisung,298
anwendbare,299
anwendbarkeit,300
anwendungsbereich,301
anwesend,302
anwesenheit,303
anwohnerinne,304
anwältinn,305
anzeichen,306
anzeige,307
anzeigen,308
anzeigepflicht,309
anzug,310
anzumerken,311
apotheke,312
apotheker,313
appellationsgericht,314
ara,315
arbeit,316
arbeiten,317
arbeiter,318
arbeitgebend,319
arbeitgebenden,320
arbeitgeber,321
arbeitgeberinn,322
arbeitnehmend,323
arbeitnehmende,324
arbeitnehmenden,325
arbeitnehmer,326
arbeitnehmerschutz,327
arbeitsaufwand,328
arbeitsbedingung,329
arbeitsbeschaffung,330
arbeitsbeschaffungsreserve,331
arbeitseinsatz,332
arbeitsgemeinschaft,333
arbeitsgericht,334
arbeitsgesetz,335
arbeitsgruppe,336
arbeitsleistung,337
arbeitslosenhilfe,338
arbeitslosenversicherung,339
arbeitslosigkeit,340
arbeitsmarkt,341
arbeitsmarktlich,342
arbeitsort,343
arbeitsplatz,344
arbeitsstunde,345
arbeitstag,346
arbeitstage,347
arbeitsverhinderung,348
arbeitsverhältnis,349
arbeitsvermittlung,350
arbeitsvertrag,351
arbeitswelt,352
arbeitszeit,353
architektur,354
archiv,355
archivgesetz,356
archivgut,357
archivierung,358
archivwesen,359
archäologie,360
archäologisch,361
areal,362
arithmetisch,363
armatur,364
arrest,365
arzneimittel,366
arzt,367
arztzeugnis,368
asb,369
asche,370
atsg,371
attraktiv,372
aue,373
auf,374
aufbau,375
aufbewahren,376
aufbewahrung,377
aufbewahrungsfrist,378
aufeinander,379
aufeinanderfolgend,380
aufenthalt,381
aufenthaltsbewilligung,382
aufenthaltsort,383
auferlegen,384
auffordern,385
aufforderung,386
aufführen,387
aufgabenbereich,388
aufgabenerfüllung,389
aufgabengebiet,390
aufgabenstellung,391
aufgabenteilung,392
aufgebot,393
aufgeführt,394
aufgehoben,395
aufgestellt,396
aufgrabung,397
aufhalten,398
aufklärung,399
aufkommen,400
auflage,401
auflagefrist,402
auflegen,403
auflösen,404
auflösung,405
aufmerksam,406
aufnahmebedingung,407
aufnahmeprüfung,408
aufrechterhaltung,409
aufrunden,410
aufschieben,411
aufschiebend,412
aufschluss,413
aufschrift,414
aufsichtsbehörde,415
aufsichtskommission,416
aufsichtsorgan,417
aufsichtsrechtlich,418
aufsichtsstelle,419
aufstellen,420
aufstellung,421
aufteilen,422
aufteilung,423
auftraggebend,424
auftraggeber,425
auftragswert,426
auftreten,427
aufweisen,428
aufwendung,429
aufwertung,430
aufzeichnung,431
augenschein,432
aus,433
ausarbeiten,434
ausarbeitung,435
ausbau,436
ausbezahlen,437
ausbezahlt,438
ausbilden,439
ausbildung,440
ausbildungsabschluss,441
ausbildungsabschlüsse,442
ausbildungsbeitrag,443
ausbildungsbeiträg,444
ausbildungsgang,445
ausbildungsgäng,446
ausbildungsjahr,447
ausbildungsplatz,448
ausbildungsstätt,449
ausbildungsvertrag,450
ausbildungszeit,451
ausdehnen,452
ausdehnung,453
ausfertigen,454
ausfertigung,455
ausführen,456
ausführend,457
ausführungsvorschrift,458
ausfüllen,459
ausgabe,460
ausgabenbewilligung,461
ausgang,462
ausgefüllt,463
ausgehen,464
ausgehend,465
ausgerichtet,466
ausgestaltung,467
ausgestellt,468
ausgewiesen,469
ausgewogen,470
ausgewählt,471
ausgleich,472
ausgleichen,473
ausgleichskas,474
ausgleichskasse,475
ausgleichszahlung,476
aushändigen,477
aushändigung,478
auskunftserteilung,479
auskunftsperson,480
auskunftspflicht,481
auslag,482
auslagen,483
ausland,484
auslegung,485
ausleihe,486
ausländer,487
ausländerrecht,488
ausländisch,489
auslösen,490
ausmass,491
ausnahmebewilligung,492
ausnahmefall,493
ausnahmsweise,494
ausreichen,495
ausreichend,496
ausrüsten,497
ausrüstung,498
aussage,499
ausscheiden,500
ausschliessen,501
ausschluss,502
ausschreiben,503
ausschreibung,504
ausschreibungsunterlag,505
ausschuss,506
ausschuß,507
ausse,508
aussen,509
aussenstell,510
aussergewöhnlich,511
ausserkantonal,512
ausserkantonalen,513
ausserschulisch,514
aussetzen,515
aussprechen,516
ausstand,517
ausstatten,518
ausstattung,519
ausstehend,520
ausstellen,521
ausstellung,522
austausch,523
austauschen,524
austreten,525
austritt,526
auswahl,527
ausweis,528
ausweise,529
ausweisen,530
auswertung,531
auswirken,532
auswirkung,533
auswärtig,534
auszahlung,535
auszubildender,536
auszug,537
auszuhändigen,538
auszählung,539
ausüben,540
ausübung,541
auto,542
automatisch,543
aux,544
avec,545
avig,546
avoir,547
awa,548
bachelor,549
baden,550
badisch,551
badischen,552
bahn,553
bahnanlag,554
bahngebiet,555
bahnhof,556
bahnverwaltung,557
bank,558
bar,559
basel,560
basel-mülhaus,561
basellandschaftlich,562
baselstädtisch,563
basieren,564
basierend,565
basis,566
baslerisch,567
bau,568
bauarbeit,569
bauausführung,570
baubegehr,571
baubegehren,572
baubeginn,573
baubewilligung,574
baubewilligungsbehörde,575
baubewilligungsverfahren,576
baudepartement,577
bauen,578
bauentscheid,579
baugebiet,580
baugesuche,581
bauherrschaft,582
bauinstallation,583
baukommission,584
baukost,585
baulich,586
baulinie,587
baum,588
baumbestand,589
baurecht,590
baurechtsvertrag,591
baurekurskommission,592
baustelle,593
baute,594
bauteil,595
bauvorhaben,596
bauvorschrift,597
bauwerk,598
bauzon,599
bauzone,600
beabsichtigen,601
beabsichtigt,602
beachten,603
beachtung,604
beamter,605
beanspruchen,606
beansprucht,607
beanspruchung,608
beanstanden,609
beanstandung,610
beanstandungen,611
beantragt,612
beantworten,613
beantwortung,614
bearbeite,615
bearbeiten,616
bearbeitet,617
bearbeitung,618
bearbeitungsgebühr,619
beaufsichtigen,620
beaufsichtigt,621
beaufsichtigung,622
beauftragen,623
beauftragt,624
beauftragter,625
bebaut,626
bebauung,627
bebauungsplan,628
bedarfsabhängig,629
bedarfsermittlung,630
bedarfsgerechen,631
bedarfsgerecht,632
bedarfsplanung,633
bedeuten,634
bedeutend,635
bedeutung,636
bedienen,637
bediensteter,638
bedienung,639
bedingt,640
bedrohen,641
bedrohungsmanagement,642
bedürfnis,643
bedürftig,644
beeinflussen,645
beeinträchtigen,646
beeinträchtigung,647
beenden,648
beendigung,649
befahren,650
befassen,651
befinden,652
befindlich,653
befolgen,654
befragen,655
befragung,656
befreien,657
befreiung,658
befristen,659
befristet,660
befristung,661
befugen,662
befugt,663
befund,664
befördern,665
beförderung,666
befürchten,667
begangen,668
begehen,669
begehren,670
begehung,671
beginnen,672
beglaubigt,673
beglaubigung,674
begleiten,675
begleitung,676
begnadigung,677
begonnen,678
begrenzen,679
begrenzt,680
begrenzung,681
begriff,682
begründung,683
begutachtung,684
begutachtungskommission,685
behalten,686
behandeln,687
behandelnd,688
behandlung,689
beheben,690
behebung,691
beherbergung,692
beherbergungsbetriebe,693
beherrschen,694
behindern,695
behindert,696
behindertenhilfe,697
behinderter,698
behinderung,699
behinderungsbedingt,700
behördlich,701
beide,702
beiderseitig,703
beidseitig,704
beigefügen,705
beigegeben,706
beigezogen,707
beihilfe,708
beilage,709
beilegen,710
beilegung,711
beinhalen,712
beinhalten,713
beisetzen,714
beisetzung,715
beisitzer,716
beispielsweise,717
beistand,718
beistandschaft,719
beitrag,720
beitragen,721
beitragsberechtigen,722
beitragsberechtigt,723
beitragsberechtigung,724
beitragsgesuch,725
beitragsgesuche,726
beitragshöhe,727
beitragsjahr,728
beitragsleistung,729
beitragspflicht,730
beitragspflichtig,731
beitragssatz,732
beitreten,733
beitritt,734
beiziehen,735
beizubringen,736
beizufügen,737
beizug,738
beizuziehen,739
bekannt,740
bekanntgabe,741
bekanntgeben,742
bekanntmachung,743
bekanntzugeben,744
bekämpfung,745
belag,746
belang,747
belassen,748
belassung,749
belasten,750
belastet,751
belastung,752
beleg,753
belegen,754
belegt,755
belegung,756
beleuchtung,757
belästigen,758
belästigung,759
bemerkung,760
bemessen,761
bemessung,762
bemessungsgrundlage,763
bemissen,764
bemisst,765
bemühen,766
bemühung,767
benachbart,768
benachrichtigen,769
benachrichtigung,770
benachteiligen,771
benachteiligung,772
benutzen,773
benutzende,774
benutzt,775
benutzung,776
benötigen,777
benötigt,778
benützen,779
benützer,780
benützerinn,781
benützung,782
beobachtung,783
bepflanzung,784
beraten,785
beratend,786
beratung,787
beratungsstelle,788
berechnet,789
berechnungsgrundlag,790
berechnungsgrundlage,791
berechtigt,792
berechtigter,793
berechtigung,794
bereinigen,795
bereinigt,796
bereinigung,797
bereit,798
bereiten,799
bereitgestellt,800
bereitstellen,801
bereitstellung,802
bereitstellungsgebühr,803
berichten,804
berichterstattung,805
berichtigen,806
berichtigung,807
bern,808
beruf,809
berufe,810
berufen,811
beruflich,812
berufliche,813
berufsauftrag,814
berufsausübung,815
berufsberatung,816
berufsbezeichnung,817
berufsbildner,818
berufsbildnerinn,819
berufsbildung,820
berufserfahrung,821
berufsfachschule,822
berufsfeld,823
berufsfeuerwehr,824
berufsgruppe,825
berufskost,826
berufsmaturität,827
berufsmässig,828
berufsorientiert,829
berufstätige,830
berufstätigkeit,831
berufsverbänd,832
berufung,833
beruhen,834
berücksichtigt,835
berühren,836
besatzung,837
beschaffen,838
beschaffenheit,839
beschaffung,840
beschaffungswesen,841
bescheinigen,842
bescheinigung,843
beschleunigt,844
beschliesst,845
beschließen,846
beschlossen,847
beschlussfassung,848
beschlussfähig,849
beschlussfähigkeit,850
beschreiben,851
beschreibung,852
beschrieben,853
beschriftung,854
beschränken,855
beschränkt,856
beschränkung,857
beschuldigt,858
beschwerde,859
beschwerdeführer,860
beschwerdeinstanz,861
beschwerderecht,862
beschwerdeverfahren,863
beschwerdewesen,864
beschädigen,865
beschädigung,866
beschäftigen,867
beschäftigung,868
beschäftigungsgrad,869
beseitigen,870
beseitigung,871
besetzen,872
besetzung,873
besichtigung,874
besitz,875
besitzen,876
besitzer,877
besitzstand,878
besoldung,879
besonder,880
besonderheit,881
besorgen,882
besorgt,883
besprechen,884
besprechung,885
bestand,886
bestanden,887
bestandteil,888
bestattung,889
bestattungswesen,890
bestellen,891
bestellt,892
bestellung,893
besteuern,894
besteuerung,895
bestg,896
bestimmungsgemäss,897
bestimmungsort,898
bestrafen,899
bestreben,900
bestreiten,901
bestätigen,902
bestätigung,903
besuch,904
besuchen,905
besucher,906
besucherinn,907
betagt,908
beteiligt,909
beteiligter,910
beteiligung,911
beteiligungsrecht,912
betracht,913
betrachten,914
betrauen,915
betraut,916
betreiber,917
betreiberinn,918
betreibung,919
betreibungsverfahre,920
betreten,921
betreuen,922
betreuend,923
betreut,924
betreuung,925
betreuungsbedarf,926
betreuungsbeitrag,927
betreuungsbeiträg,928
betreuungsperson,929
betreuungsplatz,930
betrieben,931
betrieblich,932
betriebs,933
betriebsbeitrag,934
betriebsbewilligung,935
betriebsführung,936
betriebsjahr,937
betriebskommission,938
betriebskost,939
betriebsnotwendig,940
betriebsrechnung,941
betriebsreglement,942
betriebsstätt,943
betriebsstätte,944
betriebswirtschaftlich,945
betriebszeit,946
betroffener,947
betting,948
bettinge,949
bettingen,950
betäubungsmittel,951
beurkunden,952
beurkundet,953
beurkundung,954
bevollmächtigter,955
bevor,956
bevorschussung,957
bevorstehend,958
bevölkerung,959
bevölkerungsschutz,960
bewaffnet,961
bewahren,962
beweglich,963
beweis,964
beweismittel,965
bewerber,966
bewerberinn,967
bewerten,968
bewertung,969
bewertungskommission,970
bewilligt,971
bewilligungsbehörd,972
bewilligungsbehörde,973
bewilligungserteilung,974
bewilligungsgebühr,975
bewilligungsgesuch,976
bewilligungsinhaber,977
bewilligungspflicht,978
bewilligungspflichtig,979
bewilligungsverfahr,980
bewilligungsverfahren,981
bewilligungsvoraussetzung,982
bewirken,983
bewirtschaften,984
bewirtschafter,985
bewirtschaftung,986
bewohner,987
bewährungsfrist,988
bewältigung,989
bezahlbar,990
bezahlen,991
bezahlt,992
bezahlter,993
bezahlung,994
bezeichnung,995
beziehung,996
beziehungsweise,997
bezirk,998
bezogen,999
bezugsperson,1000
bezwecken,1001
bezüger,1002
bezügerinne,1003
bfs,1004
bgf,1005
bgs,1006
bhg,1007
bibliothek,1008
bieten,1009
bilanz,1010
bild,1011
bildend,1012
bildner,1013
bildnerisch,1014
bildung,1015
bildungsanbieter,1016
bildungsangebote,1017
bildungsbedarf,1018
bildungsgang,1019
bildungsgäng,1020
bildungszentrum,1021
binden,1022
binnen,1023
binnenschifffahrt,1024
binning,1025
biodiversität,1026
biologie,1027
biologisch,1028
biometrisch,1029
bir,1030
birsfelde,1031
blau,1032
bleibe,1033
bloss,1034
blt,1035
boden,1036
bodenforschung,1037
bord,1038
bostadel,1039
bottminge,1040
bpg,1041
bpv,1042
brandschutz,1043
brauchen,1044
breit,1045
breite,1046
brennbar,1047
brieflich,1048
brunnen,1049
bruttogeschossfläch,1050
brücke,1051
brückenangebot,1052
brückenangeboter,1053
bsabb,1054
bst,1055
buch,1056
buchführung,1057
buchhaltung,1058
buchmässig,1059
budget,1060
budgetkredit,1061
bundesamt,1062
bundesbahn,1063
bundesbehörde,1064
bundesbeitrag,1065
bundesgericht,1066
bundesgesetzgebung,1067
bundesrat,1068
bundesrechtlich,1069
bundesrepublik,1070
bundessteuer,1071
bundesverfassung,1072
bus,1073
busse,1074
bvb,1075
bvg,1076
bzg,1077
bürg,1078
bürger,1079
bürgergemeind,1080
bürgergemeinde,1081
bürgerrat,1082
bürgerrecht,1083
bürgschaft,1084
büro,1085
cas,1086
cent,1087
ces,1088
cette,1089
chancengleichheit,1090
charakter,1091
chef,1092
chemie,1093
christoph,1094
chronologisch,1095
conseil,1096
container,1097
controlling,1098
convention,1099
dach,1100
dachorganisation,1101
dan,1102
dans,1103
dar,1104
darbietung,1105
darlehen,1106
darstellen,1107
darstellung,1108
darzulegen,1109
datenaustausch,1110
datenbank,1111
datenbanken,1112
datenbearbeitung,1113
dateneigner,1114
datenerhebung,1115
datenmarkt,1116
datenschutz,1117
datenschutzbeauftragte,1118
datenschutzbeauftragter,1119
datenschutzgesetz,1120
datenschutzgesetze,1121
datenschutzrechtlich,1122
datensicherheit,1123
datenträger,1124
dauerhaft,1125
dauern,1126
dauernd,1127
dazugehörend,1128
dazugehörig,1129
decken,1130
deckung,1131
deckungsgrad,1132
deckungslücke,1133
definieren,1134
definiert,1135
definition,1136
definitiv,1137
deklarieren,1138
delegation,1139
delegieren,1140
delegierter,1141
delikt,1142
demjenig,1143
demonstration,1144
demontage,1145
denkmal,1146
denkmalpfleg,1147
denkmalpflege,1148
denkmalrat,1149
denkmalschutz,1150
denkmalsubvention,1151
denkmalverzeichnis,1152
denkmäler,1153
denkmälern,1154
departemente,1155
departementsleitung,1156
departementsvorsteher,1157
deponie,1158
der,1159
derart,1160
dergleich,1161
dergleichen,1162
derjenige,1163
desgleichen,1164
detail,1165
detailliert,1166
deutsch,1167
deutschförderung,1168
deutschland,1169
deutschsprachig,1170
deux,1171
dezentral,1172
dienend,1173
dienstaltersgeschenk,1174
dienstbarkeit,1175
dienstjahr,1176
dienstleistung,1177
dienstlich,1178
dienststell,1179
dienststelle,1180
dienstverhältnis,1181
dienstwohnung,1182
diesbezüglich,1183
differenz,1184
digital,1185
dinglich,1186
diplom,1187
diplomarbeit,1188
diplomiert,1189
direktion,1190
direktor,1191
direktoren,1192
diskriminierung,1193
diskussion,1194
dispensation,1195
dispensieren,1196
disposition,1197
dispositiv,1198
disziplinarisch,1199
disziplinarmassnahm,1200
disziplinarverordnung,1201
dokument,1202
dokumentation,1203
dokumentieren,1204
dolmetscher,1205
doppelbesteuerung,1206
doppelt,1207
doppelte,1208
dorfbild-schutzzone,1209
dossier,1210
dotationskapital,1211
dozent,1212
drei,1213
dreiergericht,1214
dreifach,1215
dreispitz,1216
dreispitzareal,1217
dreispitzverwaltung,1218
dringend,1219
dringlich,1220
dringlichkeit,1221
drittel,1222
drittmittel,1223
drittperson,1224
drogerie,1225
drohend,1226
droit,1227
dulden,1228
duplikat,1229
durchführungsorgan,1230
durchführungsorgane,1231
durchgeführt,1232
durchgehend,1233
durchlaufen,1234
durchleitungsrecht,1235
durchschnitt,1236
durchschnittlich,1237
durchsetzung,1238
durchsuchung,1239
e-zug,1240
ebene,1241
edk,1242
effektiv,1243
effizient,1244
effizienz,1245
efz,1246
ehe,1247
ehegatt,1248
ehegatte,1249
ehegatter,1250
ehelich,1251
ehemalig,1252
ehepaar,1253
eichmarke,1254
eidgenossenschaft,1255
eigen,1256
eigenbeitrag,1257
eigenkapital,1258
eigenmietwert,1259
eigenschaft,1260
eigenständig,1261
eigentum,1262
eigentumsbeschränkung,1263
eigentumsverhältnis,1264
eigentümer,1265
eigentümerinn,1266
eigentümerschaft,1267
eigentümerstrategie,1268
eigenverbrauch,1269
eignen,1270
eignerstrategie,1271
eignung,1272
eignungsabklärung,1273
eignungsprüfung,1274
ein,1275
einbau,1276
einbauen,1277
einberufen,1278
einberufung,1279
einbeziehen,1280
einbezug,1281
einblick,1282
einbringen,1283
einbürgerung,1284
eindeutig,1285
einerseits,1286
einfach,1287
einfachtarif,1288
einfamilienhaus,1289
einfluss,1290
einfordern,1291
einforderung,1292
einfriedung,1293
einfuhr,1294
einfügen,1295
einführen,1296
einführung,1297
einführungsgesetz,1298
eingabe,1299
eingang,1300
eingebracht,1301
eingegangen,1302
eingehen,1303
eingehend,1304
eingeleitet,1305
eingereicht,1306
eingeschränkt,1307
eingesehen,1308
eingesetzt,1309
eingetragen,1310
eingetreten,1311
eingewiesen,1312
eingliederung,1313
eingriff,1314
einheimisch,1315
einheit,1316
einheitlich,1317
einheitspreis,1318
einholen,1319
einholung,1320
einigung,1321
einigungsamt,1322
einjährig,1323
einkauf,1324
einklang,1325
einkommen,1326
einkommenssteuer,1327
einkünfte,1328
einladen,1329
einladung,1330
einladungsverfahren,1331
einlage,1332
einleiten,1333
einleitung,1334
einmaleinlage,1335
einmalig,1336
einnahme,1337
einnehmen,1338
einreichung,1339
einreihung,1340
einrichten,1341
einrichtung,1342
einräumen,1343
einsatz,1344
einsatzleitung,1345
einsatzzentral,1346
einsatzzentrale,1347
einschließen,1348
einschluss,1349
einschlägig,1350
einschreiten,1351
einschränken,1352
einschränkung,1353
einschulung,1354
einschätzung,1355
einseitig,1356
einsetzung,1357
einsicht,1358
einsitz,1359
einsprach,1360
einsprache,1361
einspracheentscheid,1362
einspracheentscheide,1363
einsprachefrist,1364
einspracheverfahr,1365
einstellen,1366
einstellung,1367
einstimmig,1368
einstimmigkeit,1369
einstufung,1370
einteilung,1371
eintrag,1372
eintragen,1373
eintragung,1374
eintreffen,1375
eintreten,1376
eintritt,1377
einvernehmlich,1378
einverstanden,1379
einverständnis,1380
einwand,1381
einwandfrei,1382
einweisend,1383
einweisung,1384
einwendung,1385
einwilligung,1386
einwirkung,1387
einwohner,1388
einwohnergemeind,1389
einwohnergemeinde,1390
einwohnergemeinden,1391
einwohnergemeinder,1392
einwohnerinne,1393
einwohnerregister,1394
einwohnerzahl,1395
einzelgericht,1396
einzelne,1397
einzelner,1398
einzelperson,1399
einzelrichter,1400
einzig,1401
einzug,1402
einzugsgebiet,1403
einzäunung,1404
einäscherung,1405
eisenbahn,1406
eisenbahnverwaltung,1407
elbisgrabe,1408
elektrisch,1409
elektrizität,1410
elektrizitätszähler,1411
elektroauto,1412
elektronisch,1413
element,1414
elg,1415
elisabethen,1416
elterlich,1417
eltern,1418
elternlos,1419
elternrat,1420
elternteil,1421
elternveranstaltung,1422
elternzeit,1423
emission,1424
empfang,1425
empfangen,1426
empfehlen,1427
empfehlung,1428
empfänger,1429
empfängerinn,1430
enden,1431
endgültig,1432
energie,1433
energiegesetz,1434
energielieferung,1435
energiemeng,1436
energienutzung,1437
energieträger,1438
energieverbrauch,1439
energieversorgung,1440
eng,1441
engagement,1442
englisch,1443
entbinden,1444
entdeckung,1445
enteigner,1446
enteignung,1447
enteignungsgesetz,1448
enteignungsrecht,1449
entfallen,1450
entfallend,1451
entfernt,1452
entfernung,1453
entgegen,1454
entgegengenommen,1455
entgegennahme,1456
entgegenstehen,1457
entgelt,1458
entgeltlich,1459
entlassen,1460
entlassung,1461
entlasten,1462
entlastung,1463
entlöhnung,1464
entnahme,1465
entnehmen,1466
entre,1467
entrichtend,1468
entrichtet,1469
entrichtung,1470
entsandt,1471
entscheidgebühr,1472
entscheidung,1473
entschädigen,1474
entschädigung,1475
entschädigungslos,1476
entsenden,1477
entsorgen,1478
entsorgung,1479
entstanden,1480
entstehend,1481
entstehung,1482
entwickeln,1483
entwicklung,1484
entwurf,1485
entziehen,1486
entzug,1487
erarbeiten,1488
erarbeitung,1489
erbe,1490
erbgang,1491
erbinne,1492
erblasser,1493
erbracht,1494
erbring,1495
erbringend,1496
erbringung,1497
erbschaft,1498
erbschaftsamt,1499
erbvertrag,1500
erdbestattung,1501
erdgas,1502
erdreich,1503
ereignis,1504
erfahren,1505
erfahrung,1506
erfahrungsnote,1507
erfassen,1508
erfasst,1509
erfassung,1510
erfolg,1511
erfolglos,1512
erfolgreich,1513
erfolgsrechnung,1514
erfordern,1515
erfordernis,1516
ergebend,1517
ergebnis,1518
ergehen,1519
ergreifen,1520
ergänzend,1521
ergänzung,1522
ergänzungsleistung,1523
ergänzungsleistunge,1524
ergänzungsleistungen,1525
ergänzungsprüfungen,1526
erhalt,1527
erhaltung,1528
erhebend,1529
erheblich,1530
erhoben,1531
erhöhen,1532
erhöht,1533
erhöhung,1534
erkennbar,1535
erkennen,1536
erkenntnis,1537
erkennungsdienstlich,1538
erklärung,1539
erlangen,1540
erlangung,1541
erlasse,1542
erlassend,1543
erlauben,1544
erledigen,1545
erledigung,1546
erleichtern,1547
erleichterung,1548
erleiden,1549
erlischen,1550
erläutern,1551
erlös,1552
erlösche,1553
erlöschen,1554
ermahnung,1555
ermessen,1556
ermitteln,1557
ermittelt,1558
ermittlung,1559
ermittlungsbefugnis,1560
ermittlungsverfahren,1561
ermächtigt,1562
ermächtigung,1563
ermässigen,1564
ermässigung,1565
ermöglichen,1566
ernannt,1567
ernennen,1568
ernennung,1569
erneuerbar,1570
erneuern,1571
erneuerung,1572
erneut,1573
ernsthaft,1574
errechnen,1575
erreicht,1576
erreichung,1577
errichten,1578
errichtet,1579
errichtung,1580
ersatz,1581
ersatzbeschaffung,1582
ersatzmitglied,1583
ersatzneubau,1584
ersatzrichter,1585
ersatzvornahme,1586
ersatzwahl,1587
erscheinen,1588
erscheinungsbild,1589
erschliessung,1590
erschließen,1591
erschlossen,1592
erschweren,1593
ersichtlich,1594
erstatten,1595
erstausbildung,1596
erstelle,1597
erstellt,1598
erstellungskost,1599
erstinstanzlich,1600
erstmalig,1601
erstmals,1602
erstrecken,1603
ersuchen,1604
ersuchend,1605
erteilt,1606
ertrag,1607
ertragswert,1608
erwachsen,1609
erwachsend,1610
erwachsene,1611
erwachsenenschutz,1612
erwachsenenschutzbehörde,1613
erwachsenenschutzgesetz,1614
erwarten,1615
erwartend,1616
erwartet,1617
erweisen,1618
erweitern,1619
erweitert,1620
erweiterung,1621
erwerb,1622
erwerben,1623
